CustomerCode,CustomerName,LocationCode,Address
3ABSTR,SUPERIOR ALLOY TECHNOLOGY,,
3ACCES,ACCESS METAL PRODUCTS LTD,,
3ACCUA,0710074 BC LTD (DBA) ACCURATE,,
3ACCUR,ACCURATE GAUGE LTD ~COD,,
3ACECO,ACE COPPER SPECIALISTS,,
3ACL,ACCU-CUT LASER INC,,
3ACLAS,A CLASS FABRICATION CO LTD,,
3ACR,A-CORN ROOFING LTD ~COD,,
3ACROD,ACRODYNE FABRICATORS INC,,
3ACS,ACS COMPOSITE SYSTEMS INC,,
3ACTIN,ACTION STEEL SALES (OKANAGAN),,
3ACURT,ACURTECH FABRICATION ~COD,,
3ADAM,ADAM INTEGRATED,,
3ADMIR,ADMIRAL ROOFING LTD.,,
3ADP,APPLE DISPLAY PRODUCTS LTD~COD,,
3ADREN,ADRENALIN MARINE LTD,,
3ADRIA,ADRIANO'S STAINLESS LTD ~COD,,
3ADV,ADVANTAGE GUTTERS INC,,
3ADVAN,ADVANCE SHEET METAL LTD,,
3ADVM,ADVANCED MATERIAL HANDLING LTD,,
3ADVME,ADVANCE METALPRES INC,,
3ADVRO,ADVANTAGE ROOFING LTD,,
3ADVWP,ADVANCE WIRE PRODUCTS,,
3AEW,ALLIANCE ENGINEERING WORKS,,
3AFLOW,ADVANCED FLOW SYSTEMS INC ~COD,,
3AGGRE,AGGRESSIVE TUBE BENDING INC,,
3AIRGU,AIRGUARD INCORPORATED,,
3AIRTC,AIRTECH HEATING & A/C LTD,,
3AIRTE,AIR TECH MECHANICAL,,
3AIRTK,VETS SHEET METAL LTD,,
3AJFOR,A.J. FORSYTH - NEW WEST,,
3AJKEL,A.J. FORSYTH - KELOWNA,,
3AJNAN,A.J. FORSYTH - NANAIMO,,
3AJPRG,A.J. FORSYTH - PR. GEORGE,,
3ALAS,ALASKAN COPPER & BRASS CANADA,,
3ALCAN,ALCAN PRODUCTS,,
3ALDER,ALDER STEEL MART LTD,,
3ALEST,ALESTHER METAL DISTRIB. LTD,,
3ALL,ALLIANCE METAL FABRICATORS LTD,,
3ALLC,ALL CANADIAN BLDG PRODUCTS LTD,,
3ALLIE,ALLIED BLOWER - SURREY,,
3ALLRI,ALLRITE HEATING & VENTILATION,,
3ALLS,ALL SEASON ROOFING SUPPLY,,
3ALLWE,BEACON ROOFING SUPPLY CANADA,,
3ALOE,ALO & E GUTTERS (DBA),,
3ALPGA,ALPINE GAS LTD,,
3ALPHA,ALPHA ROOF & SHEET METAL INC,,
3ALPHB,DURON ROOFING LTD,,
3ALTAR,ALTAR METAL FAB CO LTD,,
3ALTM,ALTIUM BUILDING CORP,,
3AM,RYERSON CANADA INC,,
3AMES,AMES METAL FAB 82 LTD,,
3AMICO,AMICO CANADA INC.,,
3AMS,AMS INDUSTRIES LTD,,
3AMX,AMIX STEEL & SURPLUS LTD,,
